Year,Region,CategoryID,Category,Rollup,CO2,CH4,CH4 (CO2eq),N2O,N2O (CO2eq),HFCs,PFCs,SF6,NF3,CO2eq,Unit
1990,Alberta,0,TOTAL,TRUE,129920.0044,1445.072714,36126.81784,23.50309725,7003.922982,0,0,1.898005541,0,173052.6432,kt
1991,Alberta,0,TOTAL,TRUE,129879.9633,1494.101865,37352.54661,23.33903842,6955.033451,0,0,1.908519394,0,174189.4519,kt
1992,Alberta,0,TOTAL,TRUE,135054.998,1612.738044,40318.45109,23.47299498,6994.952503,0,0,1.831725088,0,182370.2334,kt
1993,Alberta,0,TOTAL,TRUE,138940.6308,1667.501338,41687.53346,24.9296905,7429.047768,0,0,1.832278785,0,188059.0443,kt
1994,Alberta,0,TOTAL,TRUE,146216.029,1743.270661,43581.76653,25.4499894,7584.096841,0,0,1.877152336,0,197383.7695,kt
1995,Alberta,0,TOTAL,TRUE,148375.5492,1842.937225,46073.43064,25.98603695,7743.83901,61.96944556,1.919166771,1.878715657,0,202258.5862,kt
1996,Alberta,0,TOTAL,TRUE,152131.6759,1942.747273,48568.68181,26.99449065,8044.358215,109.9988831,2.12972344,1.418027326,0,208858.2626,kt
1997,Alberta,0,TOTAL,TRUE,157000.8953,1913.477718,47836.94295,26.84974823,8001.224973,158.8754701,2.055193237,1.647359826,0,213001.6412,kt
1998,Alberta,0,TOTAL,TRUE,156556.7094,1967.864434,49196.61084,27.79975063,8284.325687,229.7817033,1.816986972,1.885377806,0,214271.13,kt
1999,Alberta,0,TOTAL,TRUE,164207.3913,1955.156187,48878.90468,29.5625049,8809.62646,304.2965223,1.80568823,1.709196967,0,222203.7338,kt
2000,Alberta,0,TOTAL,TRUE,172229.1712,1929.364531,48234.11327,30.40259895,9059.974488,393.442966,1.838373173,1.731246971,0,229920.2716,kt
2001,Alberta,0,TOTAL,TRUE,172350.8043,1898.875012,47471.8753,29.36975674,8752.187509,459.9764873,1.911514586,2.249396364,0,229039.0045,kt
2002,Alberta,0,TOTAL,TRUE,174534.9592,1809.143084,45228.5771,27.97760996,8337.327767,521.6090313,1.544811033,1.281330138,0,228625.2992,kt
2003,Alberta,0,TOTAL,TRUE,183030.4283,1762.286924,44057.17311,29.2848695,8726.89111,573.9619184,0.556830628,1.875687561,0,236390.887,kt
2004,Alberta,0,TOTAL,TRUE,180457.7188,1750.10709,43752.67724,30.03134812,8949.34174,643.2067086,0.683499573,1.413029742,0,233805.041,kt
2005,Alberta,0,TOTAL,TRUE,178497.3648,1745.586719,43639.66798,30.56264746,9107.668944,711.8044459,0.823764632,0.690929706,0,231958.0209,kt
2006,Alberta,0,TOTAL,TRUE,184931.2454,1734.975284,43374.3821,29.75898696,8868.178115,779.1731934,0.80774766,1.029284092,0,237954.8159,kt
2007,Alberta,0,TOTAL,TRUE,194168.796,1734.994438,43374.86096,30.41571933,9063.884361,897.279727,0.920401027,0.721773877,0,247506.4633,kt
2008,Alberta,0,TOTAL,TRUE,188992.8291,1703.153532,42578.8383,32.0264138,9543.871314,930.2621797,1.099838394,2.561684904,0,242049.4625,kt
2009,Alberta,0,TOTAL,TRUE,184865.345,1602.145932,40053.64829,29.20940214,8704.401839,1004.945195,0.844597908,2.161216415,0,234631.3461,kt
2010,Alberta,0,TOTAL,TRUE,191116.6305,1563.672071,39091.80176,30.01684424,8945.019584,1110.97784,0.996905045,1.09299106,0,240266.5196,kt
2011,Alberta,0,TOTAL,TRUE,199744.8971,1560.844548,39021.1137,31.42243509,9363.885657,1241.47511,1.670293213,1.249390598,0,249374.2913,kt
2012,Alberta,0,TOTAL,TRUE,209511.8635,1662.059983,41551.49958,32.96607047,9823.889,1339.326022,3.464372659,3.251006308,0,262233.2935,kt
2013,Alberta,0,TOTAL,TRUE,218378.4192,1690.669031,42266.72578,34.31945636,10227.19799,1431.406689,2.185461376,2.523991217,0,272308.4591,kt
2014,Alberta,0,TOTAL,TRUE,221938.4232,1719.104453,42977.61132,34.48823002,10277.49255,1583.939781,1.728429575,3.269459344,0,276782.4647,kt
2015,Alberta,0,TOTAL,TRUE,223426.6879,1631.467921,40786.69803,34.72917745,10349.29488,1612.526994,1.806366421,3.321113828,0,276180.3353,kt
2016,Alberta,0,TOTAL,TRUE,214574.5162,1558.696421,38967.41052,33.60977314,10015.7124,1636.203124,1.287632458,2.812391588,0,265197.9422,kt
2017,Alberta,0,TOTAL,TRUE,223399.3664,1507.235784,37680.89461,31.59241353,9414.539233,1700.499116,1.362408981,1.465057096,0,272198.1268,kt
2018,Alberta,0,TOTAL,TRUE,223145.2182,1507.290714,37682.26785,33.17290802,9885.526589,1836.287701,3.07689899,2.498930086,0,272554.8762,kt
1990,British Columbia,0,TOTAL,TRUE,40243.47455,349.865858,8746.646451,4.759783087,1418.41536,0,1171.988854,56.89331812,0,51637.41853,kt
1991,British Columbia,0,TOTAL,TRUE,38904.2531,352.4947582,8812.368955,4.519991539,1346.957479,0,1310.07006,56.89331812,0,50430.54291,kt
1992,British Columbia,0,TOTAL,TRUE,38189.43133,349.0056876,8725.14219,4.80549443,1432.03734,0,1315.252844,56.89331812,0,49718.75702,kt
1993,British Columbia,0,TOTAL,TRUE,40671.17834,362.9028182,9072.570455,5.011119297,1493.313551,0,1308.12247,56.89331812,0,52602.07814,kt
1994,British Columbia,0,TOTAL,TRUE,42917.7505,384.1689998,9604.224994,5.184429049,1544.959857,0,1318.277676,56.89331812,0,55442.10634,kt
